,Index,JSON Data,Date,City,Country,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
98,98,"{'coord': {'lon': -115.7999, 'lat': 60.8156}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 76.98, 'feels_like': 77.05, 'temp_min': 76.96, 'temp_max': 76.98, 'pressure': 1009, 'humidity': 57}, 'visibility': 10000, 'wind': {'speed': 10.36, 'deg': 310}, 'clouds': {'all': 40}, 'dt': 1660681206, 'sys': {'type': 1, 'id': 1036, 'country': 'CA', 'sunrise': 1660650998, 'sunset': 1660707513}, 'timezone': -21600, 'id': 5972762, 'name': 'Hay River', 'cod': 200}",1660681206,Hay River,CA,60.8156,-115.7999,76.98,57.0,40.0,10.36
99,99,"{'coord': {'lon': 132.2667, 'lat': -14.4667}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 52.12, 'feels_like': 49.06, 'temp_min': 52.12, 'temp_max': 52.12, 'pressure': 1016, 'humidity': 43}, 'visibility': 10000, 'wind': {'speed': 4.61, 'deg': 130}, 'clouds': {'all': 85}, 'dt': 1660681165, 'sys': {'type': 1, 'id': 9589, 'country': 'AU', 'sunrise': 1660685159, 'sunset': 1660727072}, 'timezone': 34200, 'id': 2068655, 'name': 'Katherine', 'cod': 200}",1660681165,Katherine,AU,-14.4667,132.2667,52.12,43.0,85.0,4.61
100,100,"{'coord': {'lon': 29.4742, 'lat': 4.9158}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 65.98, 'feels_like': 66.94, 'temp_min': 65.98, 'temp_max': 65.98, 'pressure': 1015, 'humidity': 99, 'sea_level': 1015, 'grnd_level': 931}, 'visibility': 10000, 'wind': {'speed': 4.14, 'deg': 216, 'gust': 12.8}, 'clouds': {'all': 100}, 'dt': 1660681301, 'sys': {'country': 'SS', 'sunrise': 1660622298, 'sunset': 1660666490}, 'timezone': 7200, 'id': 370457, 'name': 'Maridi', 'cod': 200}",1660681301,Maridi,SS,4.9158,29.4742,65.98,99.0,100.0,4.14
101,101,"{'coord': {'lon': 118.9636, 'lat': 42.2683}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 62.4, 'feels_like': 61.63, 'temp_min': 62.4, 'temp_max': 62.4, 'pressure': 1007, 'humidity': 70, 'sea_level': 1007, 'grnd_level': 942}, 'visibility': 10000, 'wind': {'speed': 3.85, 'deg': 216, 'gust': 3.96}, 'clouds': {'all': 0}, 'dt': 1660681303, 'sys': {'country': 'CN', 'sunrise': 1660684389, 'sunset': 1660734227}, 'timezone': 28800, 'id': 2038067, 'name': 'Chifeng', 'cod': 200}",1660681303,Chifeng,CN,42.2683,118.9636,62.4,70.0,0.0,3.85
102,102,"{'coord': {'lon': -49.6678, 'lat': 61.994}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 42.3, 'feels_like': 36.7, 'temp_min': 42.3, 'temp_max': 42.3, 'pressure': 1004, 'humidity': 90, 'sea_level': 1004, 'grnd_level': 1003}, 'visibility': 10000, 'wind': {'speed': 9.51, 'deg': 298, 'gust': 12.53}, 'clouds': {'all': 100}, 'dt': 1660681305, 'sys': {'country': 'GL', 'sunrise': 1660634737, 'sunset': 1660692035}, 'timezone': -7200, 'id': 3421193, 'name': 'Paamiut', 'cod': 200}",1660681305,Paamiut,GL,61.994,-49.6678,42.3,90.0,100.0,9.51
103,103,"{'coord': {'lon': -81.7165, 'lat': 43.7501}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 68.34, 'feels_like': 67.89, 'temp_min': 68.32, 'temp_max': 74.91, 'pressure': 1020, 'humidity': 64}, 'visibility': 10000, 'wind': {'speed': 17.27, 'deg': 10, 'gust': 25.32}, 'clouds': {'all': 100}, 'dt': 1660681307, 'sys': {'type': 1, 'id': 253, 'country': 'CA', 'sunrise': 1660645949, 'sunset': 1660696204}, 'timezone': -14400, 'id': 5962442, 'name': 'Goderich', 'cod': 200}",1660681307,Goderich,CA,43.7501,-81.7165,68.34,64.0,100.0,17.27
104,104,"{'coord': {'lon': -43.3394, 'lat': -3.7367}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 91.8, 'feels_like': 90.37, 'temp_min': 91.8, 'temp_max': 91.8, 'pressure': 1008, 'humidity': 31, 'sea_level': 1008, 'grnd_level': 997}, 'visibility': 10000, 'wind': {'speed': 3.18, 'deg': 161, 'gust': 5.82}, 'clouds': {'all': 2}, 'dt': 1660681308, 'sys': {'country': 'BR', 'sunrise': 1660640281, 'sunset': 1660683454}, 'timezone': -10800, 'id': 3409644, 'name': 'Corrente', 'cod': 200}",1660681308,Corrente,BR,-3.7367,-43.3394,91.8,31.0,2.0,3.18
105,105,"{'coord': {'lon': 31.3659, 'lat': -8.8402}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 64.38, 'feels_like': 62.35, 'temp_min': 64.38, 'temp_max': 64.38, 'pressure': 1015, 'humidity': 39, 'sea_level': 1015, 'grnd_level': 842}, 'visibility': 10000, 'wind': {'speed': 12.48, 'deg': 128, 'gust': 29.46}, 'clouds': {'all': 6}, 'dt': 1660681310, 'sys': {'country': 'ZM', 'sunrise': 1660622657, 'sunset': 1660665223}, 'timezone': 7200, 'id': 176146, 'name': 'Mbala', 'cod': 200}",1660681310,Mbala,ZM,-8.8402,31.3659,64.38,39.0,6.0,12.48
106,106,"{'coord': {'lon': 29.7487, 'lat': 70.0744}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 64.56, 'feels_like': 63.91, 'temp_min': 64.56, 'temp_max': 70.68, 'pressure': 1011, 'humidity': 68}, 'visibility': 10000, 'wind': {'speed': 3.44, 'deg': 50}, 'clouds': {'all': 0}, 'dt': 1660681312, 'sys': {'type': 1, 'id': 1682, 'country': 'NO', 'sunrise': 1660611669, 'sunset': 1660676988}, 'timezone': 7200, 'id': 777073, 'name': 'Vadsø', 'cod': 200}",1660681312,Vadsø,NO,70.0744,29.7487,64.56,68.0,0.0,3.44
107,107,"{'coord': {'lon': 29.0864, 'lat': 70.8578}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 73.08, 'feels_like': 72.9, 'temp_min': 68, 'temp_max': 73.35, 'pressure': 1010, 'humidity': 60}, 'visibility': 10000, 'wind': {'speed': 10.36, 'deg': 230}, 'rain': {'1h': 0.13}, 'clouds': {'all': 75}, 'dt': 1660681314, 'sys': {'type': 1, 'id': 1620, 'country': 'NO', 'sunrise': 1660611183, 'sunset': 1660677791}, 'timezone': 7200, 'id': 780687, 'name': 'Berlevåg', 'cod': 200}",1660681314,Berlevåg,NO,70.8578,29.0864,73.08,60.0,75.0,10.36
108,108,"{'coord': {'lon': 111.9753, 'lat': 49.5776}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 53.98, 'feels_like': 53.64, 'temp_min': 53.98, 'temp_max': 53.98, 'pressure': 1004, 'humidity': 97, 'sea_level': 1004, 'grnd_level': 901}, 'visibility': 10000, 'wind': {'speed': 2.21, 'deg': 304, 'gust': 2.39}, 'rain': {'1h': 2.18}, 'clouds': {'all': 94}, 'dt': 1660681316, 'sys': {'country': 'RU', 'sunrise': 1660685114, 'sunset': 1660736856}, 'timezone': 32400, 'id': 2021041, 'name': 'Kyra', 'cod': 200}",1660681316,Kyra,RU,49.5776,111.9753,53.98,97.0,94.0,2.21
109,109,"{'coord': {'lon': -108.05, 'lat': 25.0833}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 86.34, 'feels_like': 95.45, 'temp_min': 86.34, 'temp_max': 86.34, 'pressure': 1010, 'humidity': 69, 'sea_level': 1010, 'grnd_level': 1009}, 'visibility': 10000, 'wind': {'speed': 12.12, 'deg': 192, 'gust': 11.88}, 'clouds': {'all': 100}, 'dt': 1660681318, 'sys': {'country': 'MX', 'sunrise': 1660654000, 'sunset': 1660700791}, 'timezone': -21600, 'id': 4000490, 'name': 'La Reforma', 'cod': 200}",1660681318,La Reforma,MX,25.0833,-108.05,86.34,69.0,100.0,12.12
110,110,"{'coord': {'lon': -78.1703, 'lat': 7.5175}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 81.48, 'feels_like': 86.27, 'temp_min': 81.48, 'temp_max': 81.48, 'pressure': 1010, 'humidity': 74, 'sea_level': 1010, 'grnd_level': 1010}, 'visibility': 10000, 'wind': {'speed': 5.23, 'deg': 272, 'gust': 5.32}, 'clouds': {'all': 72}, 'dt': 1660681320, 'sys': {'country': 'PA', 'sunrise': 1660647977, 'sunset': 1660692474}, 'timezone': -18000, 'id': 3708432, 'name': 'Jaqué', 'cod': 200}",1660681320,Jaqué,PA,7.5175,-78.1703,81.48,74.0,72.0,5.23
111,111,"{'coord': {'lon': 125.2833, 'lat': 24.8}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 85.42, 'feels_like': 96.22, 'temp_min': 85.42, 'temp_max': 85.42, 'pressure': 1007, 'humidity': 76, 'sea_level': 1007, 'grnd_level': 1005}, 'visibility': 10000, 'wind': {'speed': 11.9, 'deg': 151, 'gust': 12.24}, 'clouds': {'all': 40}, 'dt': 1660681321, 'sys': {'country': 'JP', 'sunrise': 1660684430, 'sunset': 1660731153}, 'timezone': 32400, 'id': 1862505, 'name': 'Hirara', 'cod': 200}",1660681321,Hirara,JP,24.8,125.2833,85.42,76.0,40.0,11.9
112,112,"{'cod': '404', 'message': 'city not found'}",NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0
113,113,"{'coord': {'lon': -66.8958, 'lat': -4.8828}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 87.62, 'feels_like': 92.66, 'temp_min': 87.62, 'temp_max': 87.62, 'pressure': 1007, 'humidity': 56, 'sea_level': 1007, 'grnd_level': 999}, 'visibility': 10000, 'wind': {'speed': 2.89, 'deg': 22, 'gust': 6.6}, 'clouds': {'all': 94}, 'dt': 1660681325, 'sys': {'country': 'BR', 'sunrise': 1660646000, 'sunset': 1660689040}, 'timezone': -14400, 'id': 3664659, 'name': 'Carauari', 'cod': 200}",1660681325,Carauari,BR,-4.8828,-66.8958,87.62,56.0,94.0,2.89
114,114,"{'coord': {'lon': 26.4, 'lat': 46.4333}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 63.52, 'feels_like': 63.84, 'temp_min': 63.28, 'temp_max': 63.52, 'pressure': 1011, 'humidity': 91, 'sea_level': 1011, 'grnd_level': 964}, 'visibility': 10000, 'wind': {'speed': 5.19, 'deg': 264, 'gust': 5.55}, 'clouds': {'all': 91}, 'dt': 1660681327, 'sys': {'type': 1, 'id': 6909, 'country': 'RO', 'sunrise': 1660619638, 'sunset': 1660670626}, 'timezone': 10800, 'id': 686090, 'name': 'Asău', 'cod': 200}",1660681327,Asău,RO,46.4333,26.4,63.52,91.0,91.0,5.19
115,115,"{'coord': {'lon': 75.3833, 'lat': 12.5667}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 74.44, 'feels_like': 75.96, 'temp_min': 74.44, 'temp_max': 74.44, 'pressure': 1010, 'humidity': 93, 'sea_level': 1010, 'grnd_level': 999}, 'visibility': 10000, 'wind': {'speed': 1.43, 'deg': 73, 'gust': 1.61}, 'clouds': {'all': 41}, 'dt': 1660681329, 'sys': {'country': 'IN', 'sunrise': 1660697219, 'sunset': 1660742313}, 'timezone': 19800, 'id': 1255482, 'name': 'Sullia', 'cod': 200}",1660681329,Sullia,IN,12.5667,75.3833,74.44,93.0,41.0,1.43
116,116,"{'coord': {'lon': -103.6833, 'lat': 18.7333}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 89.83, 'feels_like': 98.73, 'temp_min': 89.83, 'temp_max': 89.83, 'pressure': 1010, 'humidity': 59, 'sea_level': 1010, 'grnd_level': 1008}, 'visibility': 10000, 'wind': {'speed': 7.47, 'deg': 200, 'gust': 7.54}, 'clouds': {'all': 89}, 'dt': 1660681330, 'sys': {'country': 'MX', 'sunrise': 1660653395, 'sunset': 1660699300}, 'timezone': -18000, 'id': 4013679, 'name': 'Coahuayana Viejo', 'cod': 200}",1660681330,Coahuayana Viejo,MX,18.7333,-103.6833,89.83,59.0,89.0,7.47
117,117,"{'coord': {'lon': 114.1577, 'lat': 22.2855}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 83.79, 'feels_like': 96.08, 'temp_min': 80.94, 'temp_max': 85.32, 'pressure': 1007, 'humidity': 87}, 'visibility': 10000, 'wind': {'speed': 8.99, 'deg': 110}, 'clouds': {'all': 11}, 'dt': 1660681265, 'sys': {'type': 2, 'id': 2035800, 'country': 'HK', 'sunrise': 1660687279, 'sunset': 1660733643}, 'timezone': 28800, 'id': 1819729, 'name': 'Hong Kong', 'cod': 200}",1660681265,Hong Kong,HK,22.2855,114.1577,83.79,87.0,11.0,8.99
118,118,"{'coord': {'lon': -2.206, 'lat': 36.9665}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 71.24, 'feels_like': 71.73, 'temp_min': 71.24, 'temp_max': 73.65, 'pressure': 1006, 'humidity': 78}, 'visibility': 10000, 'wind': {'speed': 9.22, 'deg': 60}, 'clouds': {'all': 0}, 'dt': 1660681334, 'sys': {'type': 1, 'id': 6393, 'country': 'ES', 'sunrise': 1660627587, 'sunset': 1660676406}, 'timezone': 7200, 'id': 2513222, 'name': 'Níjar', 'cod': 200}",1660681334,Níjar,ES,36.9665,-2.206,71.24,78.0,0.0,9.22
119,119,"{'coord': {'lon': -128.6035, 'lat': 54.5163}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 67.91, 'feels_like': 68.02, 'temp_min': 67.91, 'temp_max': 67.91, 'pressure': 1019, 'humidity': 77}, 'visibility': 10000, 'wind': {'speed': 5.75, 'deg': 170}, 'clouds': {'all': 75}, 'dt': 1660681336, 'sys': {'type': 1, 'id': 984, 'country': 'CA', 'sunrise': 1660655573, 'sunset': 1660709082}, 'timezone': -25200, 'id': 6162949, 'name': 'Terrace', 'cod': 200}",1660681336,Terrace,CA,54.5163,-128.6035,67.91,77.0,75.0,5.75
120,120,"{'coord': {'lon': 138.95, 'lat': 34.6667}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 81.1, 'feels_like': 88.56, 'temp_min': 81.1, 'temp_max': 81.1, 'pressure': 1007, 'humidity': 89, 'sea_level': 1007, 'grnd_level': 1007}, 'visibility': 10000, 'wind': {'speed': 18.25, 'deg': 246, 'gust': 28.48}, 'clouds': {'all': 100}, 'dt': 1660681338, 'sys': {'type': 2, 'id': 2019346, 'country': 'JP', 'sunrise': 1660680354, 'sunset': 1660728669}, 'timezone': 32400, 'id': 1852357, 'name': 'Shimoda', 'cod': 200}",1660681338,Shimoda,JP,34.6667,138.95,81.1,89.0,100.0,18.25
121,121,"{'coord': {'lon': 100.3354, 'lat': 5.4112}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 79.25, 'feels_like': 79.25, 'temp_min': 76.95, 'temp_max': 80.89, 'pressure': 1009, 'humidity': 89}, 'visibility': 8000, 'wind': {'speed': 3.44, 'deg': 0}, 'clouds': {'all': 20}, 'dt': 1660681170, 'sys': {'type': 2, 'id': 2037578, 'country': 'MY', 'sunrise': 1660691659, 'sunset': 1660735897}, 'timezone': 28800, 'id': 1735106, 'name': 'George Town', 'cod': 200}",1660681170,George Town,MY,5.4112,100.3354,79.25,89.0,20.0,3.44
122,122,"{'coord': {'lon': 143.2003, 'lat': 42.9917}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 63.55, 'feels_like': 63.84, 'temp_min': 63.55, 'temp_max': 63.55, 'pressure': 1004, 'humidity': 90, 'sea_level': 1004, 'grnd_level': 996}, 'visibility': 10000, 'wind': {'speed': 8.72, 'deg': 317, 'gust': 18.57}, 'clouds': {'all': 44}, 'dt': 1660681341, 'sys': {'country': 'JP', 'sunrise': 1660678484, 'sunset': 1660728500}, 'timezone': 32400, 'id': 2128558, 'name': 'Otofuke', 'cod': 200}",1660681341,Otofuke,JP,42.9917,143.2003,63.55,90.0,44.0,8.72
123,123,"{'coord': {'lon': 130.9833, 'lat': -12.486}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 66.07, 'feels_like': 65.77, 'temp_min': 59.04, 'temp_max': 66.18, 'pressure': 1014, 'humidity': 72}, 'visibility': 10000, 'wind': {'speed': 3.44, 'deg': 100}, 'clouds': {'all': 0}, 'dt': 1660681343, 'sys': {'type': 1, 'id': 9574, 'country': 'AU', 'sunrise': 1660685348, 'sunset': 1660727499}, 'timezone': 34200, 'id': 6301965, 'name': 'Palmerston', 'cod': 200}",1660681343,Palmerston,AU,-12.486,130.9833,66.07,72.0,0.0,3.44
124,124,"{'coord': {'lon': -59.4307, 'lat': -34.6515}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 61.14, 'feels_like': 58.55, 'temp_min': 59.86, 'temp_max': 61.65, 'pressure': 1006, 'humidity': 34, 'sea_level': 1006, 'grnd_level': 1001}, 'visibility': 10000, 'wind': {'speed': 2.04, 'deg': 285, 'gust': 6.55}, 'clouds': {'all': 100}, 'dt': 1660681345, 'sys': {'type': 2, 'id': 2021774, 'country': 'AR', 'sunrise': 1660646204, 'sunset': 1660685253}, 'timezone': -10800, 'id': 3430708, 'name': 'Mercedes', 'cod': 200}",1660681345,Mercedes,AR,-34.6515,-59.4307,61.14,34.0,100.0,2.04
125,125,"{'coord': {'lon': 23.2833, 'lat': -25.2667}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 62.04, 'feels_like': 58.55, 'temp_min': 62.04, 'temp_max': 62.04, 'pressure': 1018, 'humidity': 13, 'sea_level': 1018, 'grnd_level': 903}, 'visibility': 10000, 'wind': {'speed': 9.4, 'deg': 1, 'gust': 14.43}, 'clouds': {'all': 59}, 'dt': 1660681330, 'sys': {'country': 'BW', 'sunrise': 1660625646, 'sunset': 1660666113}, 'timezone': 7200, 'id': 932960, 'name': 'Werda', 'cod': 200}",1660681330,Werda,BW,-25.2667,23.2833,62.04,13.0,59.0,9.4
126,126,"{'coord': {'lon': -9.3811, 'lat': 39.3558}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 67.21, 'feels_like': 67.53, 'temp_min': 64.92, 'temp_max': 69.3, 'pressure': 1016, 'humidity': 83, 'sea_level': 1016, 'grnd_level': 1015}, 'visibility': 10000, 'wind': {'speed': 20.07, 'deg': 347, 'gust': 25.88}, 'clouds': {'all': 1}, 'dt': 1660681349, 'sys': {'type': 2, 'id': 2002825, 'country': 'PT', 'sunrise': 1660629069, 'sunset': 1660678367}, 'timezone': 3600, 'id': 2264923, 'name': 'Peniche', 'cod': 200}",1660681349,Peniche,PT,39.3558,-9.3811,67.21,83.0,1.0,20.07
127,127,"{'coord': {'lon': 32.8, 'lat': -5.0167}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 75.72, 'feels_like': 74.5, 'temp_min': 75.72, 'temp_max': 75.72, 'pressure': 1012, 'humidity': 32, 'sea_level': 1012, 'grnd_level': 883}, 'visibility': 10000, 'wind': {'speed': 7.18, 'deg': 107, 'gust': 22.79}, 'clouds': {'all': 85}, 'dt': 1660681089, 'sys': {'country': 'TZ', 'sunrise': 1660622086, 'sunset': 1660665106}, 'timezone': 10800, 'id': 149658, 'name': 'Tabora', 'cod': 200}",1660681089,Tabora,TZ,-5.0167,32.8,75.72,32.0,85.0,7.18
128,128,"{'coord': {'lon': -68.3, 'lat': -54.8}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 38.86, 'feels_like': 33.17, 'temp_min': 38.82, 'temp_max': 38.86, 'pressure': 985, 'humidity': 81}, 'visibility': 10000, 'wind': {'speed': 8.05, 'deg': 70}, 'clouds': {'all': 75}, 'dt': 1660681352, 'sys': {'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1660650729, 'sunset': 1660684985}, 'timezone': -10800, 'id': 3833367, 'name': 'Ushuaia', 'cod': 200}",1660681352,Ushuaia,AR,-54.8,-68.3,38.86,81.0,75.0,8.05
129,129,"{'coord': {'lon': 129.4833, 'lat': 28.3667}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 81.52, 'feels_like': 88.09, 'temp_min': 81.52, 'temp_max': 81.52, 'pressure': 1010, 'humidity': 82, 'sea_level': 1010, 'grnd_level': 984}, 'visibility': 10000, 'wind': {'speed': 9.64, 'deg': 193, 'gust': 15.39}, 'clouds': {'all': 43}, 'dt': 1660681354, 'sys': {'type': 1, 'id': 8013, 'country': 'JP', 'sunrise': 1660683154, 'sunset': 1660730413}, 'timezone': 32400, 'id': 1855540, 'name': 'Naze', 'cod': 200}",1660681354,Naze,JP,28.3667,129.4833,81.52,82.0,43.0,9.64
130,130,"{'coord': {'lon': -84.2807, 'lat': 30.4383}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 87.64, 'feels_like': 97.2, 'temp_min': 87.64, 'temp_max': 95.2, 'pressure': 1012, 'humidity': 66}, 'visibility': 10000, 'wind': {'speed': 4.61, 'deg': 170}, 'clouds': {'all': 0}, 'dt': 1660681356, 'sys': {'type': 1, 'id': 6031, 'country': 'US', 'sunrise': 1660647878, 'sunset': 1660695506}, 'timezone': -14400, 'id': 4174715, 'name': 'Tallahassee', 'cod': 200}",1660681356,Tallahassee,US,30.4383,-84.2807,87.64,66.0,0.0,4.61
131,131,"{'coord': {'lon': 44.5167, 'lat': -22.2833}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 64.53, 'feels_like': 63.97, 'temp_min': 64.53, 'temp_max': 64.53, 'pressure': 1019, 'humidity': 70, 'sea_level': 1019, 'grnd_level': 973}, 'visibility': 10000, 'wind': {'speed': 8.08, 'deg': 174, 'gust': 19.95}, 'clouds': {'all': 0}, 'dt': 1660681358, 'sys': {'country': 'MG', 'sunrise': 1660620348, 'sunset': 1660661222}, 'timezone': 10800, 'id': 1072879, 'name': 'Ankazoabo', 'cod': 200}",1660681358,Ankazoabo,MG,-22.2833,44.5167,64.53,70.0,0.0,8.08
132,132,"{'coord': {'lon': -114.0611, 'lat': 27.9769}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 84.74, 'feels_like': 85.64, 'temp_min': 84.74, 'temp_max': 84.74, 'pressure': 1009, 'humidity': 48, 'sea_level': 1009, 'grnd_level': 1009}, 'visibility': 10000, 'wind': {'speed': 11.5, 'deg': 317, 'gust': 8.52}, 'clouds': {'all': 13}, 'dt': 1660681359, 'sys': {'country': 'MX', 'sunrise': 1660655224, 'sunset': 1660702452}, 'timezone': -21600, 'id': 4021858, 'name': 'Guerrero Negro', 'cod': 200}",1660681359,Guerrero Negro,MX,27.9769,-114.0611,84.74,48.0,13.0,11.5
133,133,"{'cod': '404', 'message': 'city not found'}",NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0
134,134,"{'coord': {'lon': 150.85, 'lat': 65.75}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 51.67, 'feels_like': 49.73, 'temp_min': 51.67, 'temp_max': 51.67, 'pressure': 1001, 'humidity': 68, 'sea_level': 1001, 'grnd_level': 997}, 'visibility': 10000, 'wind': {'speed': 4.38, 'deg': 360, 'gust': 4.76}, 'rain': {'1h': 0.13}, 'clouds': {'all': 100}, 'dt': 1660681363, 'sys': {'country': 'RU', 'sunrise': 1660671681, 'sunset': 1660731632}, 'timezone': 39600, 'id': 2119283, 'name': 'Zyryanka', 'cod': 200}",1660681363,Zyryanka,RU,65.75,150.85,51.67,68.0,100.0,4.38
135,135,"{'coord': {'lon': 126.1689, 'lat': 6.3711}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 80.73, 'feels_like': 85.46, 'temp_min': 80.73, 'temp_max': 80.73, 'pressure': 1009, 'humidity': 78, 'sea_level': 1009, 'grnd_level': 1007}, 'visibility': 10000, 'wind': {'speed': 3.31, 'deg': 288, 'gust': 6.87}, 'rain': {'1h': 0.92}, 'clouds': {'all': 100}, 'dt': 1660681365, 'sys': {'country': 'PH', 'sunrise': 1660685403, 'sunset': 1660729755}, 'timezone': 28800, 'id': 1698289, 'name': 'Pundaguitan', 'cod': 200}",1660681365,Pundaguitan,PH,6.3711,126.1689,80.73,78.0,100.0,3.31
136,136,"{'coord': {'lon': -16.7667, 'lat': 32.7}, 'weather': [{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}], 'base': 'stations', 'main': {'temp': 74.71, 'feels_like': 75.88, 'temp_min': 74.03, 'temp_max': 76.71, 'pressure': 1017, 'humidity': 85}, 'visibility': 10000, 'wind': {'speed': 17.27, 'deg': 10, 'gust': 28.77}, 'clouds': {'all': 40}, 'dt': 1660681367, 'sys': {'type': 1, 'id': 6894, 'country': 'PT', 'sunrise': 1660631476, 'sunset': 1660679505}, 'timezone': 3600, 'id': 2266895, 'name': 'Machico', 'cod': 200}",1660681367,Machico,PT,32.7,-16.7667,74.71,85.0,40.0,17.27
